timestamp,label,nof_ues,cqi,pusch_snr,pucch_snr,dl_ok,dl_nok,dl_bler
1777554483.857307673,Normal,1,50,30.9,5.0,0,0,0.0
1777554484.853851006,Normal,1,50,0.0,4.7,0,0,0.0
1777554485.853075947,Normal,1,50,30.7,5.1,0,0,0.0
1777554486.859099907,Normal,1,50,0.0,4.7,0,0,0.0
1777554487.855374956,Normal,1,50,30.5,4.8,0,0,0.0
1777554488.857567307,Normal,1,50,0.0,4.9,0,0,0.0
1777554489.858940931,Normal,1,50,0.0,5.3,0,0,0.0
1777554490.854132368,Normal,1,50,0.0,3.9,0,0,0.0
1777554491.857854805,Normal,1,50,0.0,4.4,0,0,0.0
1777554492.856060375,Normal,1,50,0.0,4.6,0,0,0.0
1777554493.855509887,Normal,1,50,0.0,4.3,0,0,0.0
1777554494.853550956,Normal,1,50,0.0,4.3,0,0,0.0
1777554495.854860432,Normal,1,42,0.0,2.1,0,0,0.0
1777554496.856686679,Normal,1,50,0.0,4.4,0,0,0.0
1777554497.852465016,Normal,1,50,0.0,4.2,0,0,0.0
1777554498.858643113,Normal,1,50,30.5,4.6,0,0,0.0
1777554499.855359785,Normal,1,50,30.6,4.7,0,0,0.0
1777554500.860714836,Normal,1,50,0.0,4.4,0,0,0.0
1777554501.854848839,Normal,1,50,30.8,5.0,0,0,0.0
1777554502.860940711,Normal,1,42,-22.1,0.6,2,5,.7142
1777554523.850766857,Constant,1,50,0.0,4.9,0,0,0.0
1777554524.855236573,Constant,1,50,29.4,4.3,0,0,0.0
1777554525.854235088,Constant,1,50,29.3,4.7,0,0,0.0
1777554526.859776545,Constant,1,50,0.0,4.8,0,0,0.0
1777554527.854144621,Constant,1,50,0.0,2.8,0,0,0.0
1777554528.851978239,Constant,1,50,30.7,3.6,0,0,0.0
1777554529.857396031,Constant,1,49,0.0,3.5,1,1,.5000
1777554530.857164755,Constant,1,50,0.0,4.2,1,1,.5000
1777554531.849012871,Constant,1,50,0.0,3.5,0,0,0.0
1777554532.848704294,Constant,1,50,0.0,4.7,0,0,0.0
1777554533.849765776,Constant,1,44,30.8,2.3,0,0,0.0
